step,category,rank,reward,R2,RMSE,prefix,expr
0,top10,0,0.866023,0.8396482394685918,1.1173331286994892,v2,v2
0,top10,1,0.865244,0.8603316468678738,1.042785096507526,sub sub 4 add mul <C> v2 mul mul <C> v1 v1 logabs <C>,((4-((-0.8659*v2)+((0.0055*v1)*v1)))-logabs(54.3578))
0,top10,2,0.836579,0.8413047876424168,1.1115467209863643,sub sub sub v2 pow aggr sour sigmoid add mul <C> v2 pow logabs 5 v2 pow3 <C> 2 <C>,(((v2-(aggr(sour(sigmoid(((0.6906*v2)+(logabs(5)**v2)))))**(-0.5355**3)))-2)--2.9713)
0,top10,3,0.646445,0.47612028213697866,2.019582514514093,sub sub exp add mul <C> v2 sub mul <C> v1 v1 tanh v2 2,((exp(((0.4512*v2)+((1.0017*v1)-v1)))-tanh(v2))-2)
0,top10,4,0.639455,0.46254117161163877,2.0455891429678004,sub sub tanh add mul <C> v2 v2 mul mul <C> v1 tan sqrtabs v2 pow3 <C>,((tanh(((0.4060*v2)+v2))-((-0.0000*v1)*tan(sqrtabs(v2))))-(0.2808**3))
0,top10,5,0.637103,0.44754636262684766,2.07392825352378,sub sub sub mul add v2 pow2 mul mul <C> aggr sour regular v2 4 (1/5) <C> <C> v1 <C>,"(((((v2+(((0.0000*aggr(sour(regular(v2, 4))))*(1/5))**2))*0.8630)--0.4145)-v1)-0.2522)"
0,top10,6,0.606813,0.4496175473618885,2.070036956742707,sub sub sub mul add v2 pow2 mul mul <C> aggr sour v2 (1/5) <C> <C> v1 <C>,(((((v2+(((-0.0000*aggr(sour(v2)))*(1/5))**2))*0.8905)-0.5590)-v1)--0.5201)
0,top10,7,0.600354,0.3056269477535096,2.325103224731109,sub sub pow3 mul mul <C> v2 sigmoid mul mul <C> sub inv sub (1/3) v2 <C> <C> v1 <C>,(((((1.1028*v2)*sigmoid(((0.3397*((1/((1/3)-v2))--2.5980))*-0.7446)))**3)-v1)-0.3968)
0,top10,8,0.592897,0.29256286160175304,2.346873802553691,sub sub sub sub mul (1/2) v2 v1 div mul <C> aggr sour sub sigmoid 2 (1/4) v2 4 <C>,((((((1/2)*v2)-v1)-((-0.0086*aggr(sour((sigmoid(2)-(1/4)))))/v2))-4)--4.1584)
0,top10,9,0.565458,0.24861589947195784,2.4186710699254763,sub sigmoid sub sub mul 2 v2 v1 div mul <C> aggr sin sub sour v2 targ v2 v1 <C>,(sigmoid((((2*v2)-v1)-((-0.0009*aggr(sin((sour(v2)-targ(v2)))))/v1)))-0.5732)
